hour,el_hh_norm
2551,9.70149E-05
2552,0.000134478
2553,0.000142563
2554,0.000139105
2555,0.000133635
2556,0.000135703
2557,0.00015106
2558,0.000147571
2559,0.000129034
2560,0.000116314
2561,0.000112642
2562,0.000127206
2563,0.000157156
2564,0.000181646
2565,0.000173943
2566,0.000156889
2567,0.000136788
2568,0.00010288
2569,6.94971E-05
2570,5.40365E-05
2571,4.38537E-05
2572,4.15534E-05
2573,4.11122E-05
2574,4.25951E-05
2575,5.46104E-05
2576,8.35752E-05
2577,0.000117741
2578,0.000139576
2579,0.000148315
2580,0.00015517
2581,0.000165212
2582,0.000161871
2583,0.000147151
2584,0.000137462
2585,0.000136026
2586,0.000152749
2587,0.000174782
2588,0.000183815
2589,0.000163801
2590,0.000135602
2591,0.000127575
2592,0.000107466
2593,8.44129E-05
2594,6.19738E-05
2595,4.96732E-05
2596,4.55133E-05
2597,4.41027E-05
2598,4.37113E-05
2599,4.61661E-05
2600,6.18544E-05
2601,0.00010446
2602,0.000153483
2603,0.000182956
2604,0.000205805
2605,0.000209254
2606,0.000173392
2607,0.000139597
2608,0.000121332
2609,0.000108103
2610,0.000116546
2611,0.000141374
2612,0.000164337
2613,0.000159091
2614,0.000144052
2615,0.000128054
2616,9.59055E-05
2617,6.83857E-05
2618,5.06757E-05
2619,4.60228E-05
2620,4.42797E-05
2621,4.54692E-05
2622,5.46865E-05
2623,9.70149E-05
2624,0.000134478
2625,0.000142563
2626,0.000139105
2627,0.000133635
2628,0.000135703
2629,0.00015106
2630,0.000147571
2631,0.000129034
2632,0.000116314
2633,0.000112642
2634,0.000127206
2635,0.000157156
2636,0.000181646
2637,0.000173943
2638,0.000156889
2639,0.000136788
2640,0.00010288
2641,6.83857E-05
2642,5.06757E-05
2643,4.60228E-05
2644,4.42797E-05
2645,4.54692E-05
2646,5.46865E-05
2647,9.70149E-05
2648,0.000134478
2649,0.000142563
2650,0.000139105
2651,0.000133635
2652,0.000135703
2653,0.00015106
2654,0.000147571
2655,0.000129034
2656,0.000116314
2657,0.000112642
2658,0.000127206
2659,0.000157156
2660,0.000181646
2661,0.000173943
2662,0.000156889
2663,0.000136788
2664,0.00010288
2665,6.83857E-05
2666,5.06757E-05
2667,4.60228E-05
2668,4.42797E-05
2669,4.54692E-05
2670,5.46865E-05
2671,9.70149E-05
2672,0.000134478
2673,0.000142563
2674,0.000139105
2675,0.000133635
2676,0.000135703
2677,0.00015106
2678,0.000147571
2679,0.000129034
2680,0.000116314
2681,0.000112642
2682,0.000127206
2683,0.000157156
2684,0.000181646
2685,0.000173943
2686,0.000156889
2687,0.000136788
2688,0.00010288
2689,6.83857E-05
2690,5.06757E-05
2691,4.60228E-05
2692,4.42797E-05
2693,4.54692E-05
2694,5.46865E-05
2695,9.70149E-05
2696,0.000134478
2697,0.000142563
2698,0.000139105
2699,0.000133635
2700,0.000135703
2701,0.00015106
2702,0.000147571
2703,0.000129034
2704,0.000116314
2705,0.000112642
2706,0.000127206
2707,0.000157156
2708,0.000181646
2709,0.000173943
2710,0.000156889
2711,0.000136788
2712,0.00010288
2713,6.83857E-05
2714,5.06757E-05
2715,4.60228E-05
2716,4.42797E-05
2717,4.54692E-05
2718,5.46865E-05
2719,9.70149E-05
2720,0.000134478
2721,0.000142563
2722,0.000139105
2723,0.000133635
2724,0.000135703
2725,0.00015106
2726,0.000147571
2727,0.000129034
2728,0.000116314
2729,0.000112642
2730,0.000127206
2731,0.000157156
2732,0.000181646
2733,0.000173943
2734,0.000156889
2735,0.000136788
2736,0.00010288
2737,6.94971E-05
2738,5.40365E-05
2739,4.38537E-05
2740,4.15534E-05
2741,4.11122E-05
2742,4.25951E-05
2743,5.46104E-05
2744,8.35752E-05
2745,0.000117741
2746,0.000139576
2747,0.000148315
2748,0.00015517
2749,0.000165212
2750,0.000161871
2751,0.000147151
2752,0.000137462
2753,0.000136026
2754,0.000152749
2755,0.000174782
2756,0.000183815
2757,0.000163801
2758,0.000135602
2759,0.000127575
2760,0.000107466
2761,8.44129E-05
2762,6.19738E-05
2763,4.96732E-05
2764,4.55133E-05
2765,4.41027E-05
2766,4.37113E-05
2767,4.61661E-05
2768,6.18544E-05
2769,0.00010446
2770,0.000153483
2771,0.000182956
2772,0.000205805
2773,0.000209254
2774,0.000173392
2775,0.000139597
2776,0.000121332
2777,0.000108103
2778,0.000116546
2779,0.000141374
2780,0.000164337
2781,0.000159091
2782,0.000144052
2783,0.000128054
2784,9.59055E-05
2785,6.83857E-05
2786,5.06757E-05
2787,4.60228E-05
2788,4.42797E-05
2789,4.54692E-05
2790,5.46865E-05
2791,9.70149E-05
2792,0.000134478
2793,0.000142563
2794,0.000139105
2795,0.000133635
2796,0.000135703
2797,0.00015106
2798,0.000147571
2799,0.000129034
2800,0.000116314
2801,0.000112642
2802,0.000127206
2803,0.000157156
2804,0.000181646
2805,0.000173943
2806,0.000156889
2807,0.000136788
2808,0.00010288
2809,6.83857E-05
2810,5.06757E-05
2811,4.60228E-05
2812,4.42797E-05
2813,4.54692E-05
2814,5.46865E-05
2815,9.70149E-05
2816,0.000134478
2817,0.000142563
2818,0.000139105
2819,0.000133635
2820,0.000135703
2821,0.00015106
2822,0.000147571
2823,0.000129034
2824,0.000116314
2825,0.000112642
2826,0.000127206
2827,0.000157156
2828,0.000181646
2829,0.000173943
2830,0.000156889
2831,0.000136788
2832,0.00010288
2833,6.83857E-05
2834,5.06757E-05
2835,4.60228E-05
2836,4.42797E-05
2837,4.54692E-05
2838,5.46865E-05
2839,9.70149E-05
2840,0.000134478
2841,0.000142563
2842,0.000139105
2843,0.000133635
2844,0.000135703
2845,0.00015106
2846,0.000147571
2847,0.000129034
2848,0.000116314
2849,0.000112642
2850,0.000127206
2851,0.000157156
2852,0.000181646
2853,0.000173943
2854,0.000156889
2855,0.000136788
2856,0.00010288
2857,6.83857E-05
2858,5.06757E-05
2859,4.60228E-05
2860,4.42797E-05
2861,4.54692E-05
2862,5.46865E-05
2863,9.70149E-05
2864,0.000134478
2865,0.000142563
2866,0.000139105
2867,0.000133635
2868,0.000135703
2869,0.00015106
2870,0.000147571
2871,0.000129034
2872,0.000116314
2873,0.000112642
2874,0.000127206
2875,0.000157156
2876,0.000181646
2877,0.000173943
2878,0.000156889
2879,0.000136788
2880,0.00010288
2881,6.83857E-05
2882,5.06757E-05
2883,4.60228E-05
2884,4.42797E-05
2885,4.54692E-05
2886,5.46865E-05
2887,9.70149E-05
2888,0.000134478
2889,0.000142563
2890,0.000139105
2891,0.000133635
2892,0.000135703
2893,0.00015106
2894,0.000147571
